Comunidades autónomas;País de residencia;Meses;Total
Galicia;Venezuela;Octubre;363
Galicia;Venezuela;Noviembre;126
Galicia;Venezuela;Diciembre;279
Galicia;Resto América Central y Sur;Enero;242
Galicia;Resto América Central y Sur;Febrero;301
Galicia;Resto América Central y Sur;Marzo;363
Galicia;Resto América Central y Sur;Abril;860
Galicia;Resto América Central y Sur;Mayo;1.692
Galicia;Resto América Central y Sur;Junio;1.320
Galicia;Resto América Central y Sur;Julio;1.598
Galicia;Resto América Central y Sur;Agosto;896
Galicia;Resto América Central y Sur;Setiembre;1.379
Galicia;Resto América Central y Sur;Octubre;1.688
Galicia;Resto América Central y Sur;Noviembre;457
Galicia;Resto América Central y Sur;Diciembre;365
Galicia;Japón;Enero;120
Galicia;Japón;Febrero;309
Galicia;Japón;Marzo;308
Galicia;Japón;Abril;274
Galicia;Japón;Mayo;558
Galicia;Japón;Junio;822
Galicia;Japón;Julio;289
Galicia;Japón;Agosto;801
Galicia;Japón;Setiembre;641
Galicia;Japón;Octubre;647
Galicia;Japón;Noviembre;98
Galicia;Japón;Diciembre;199
Galicia;Resto de Asia;Enero;105
Galicia;Resto de Asia;Febrero;81
Galicia;Resto de Asia;Marzo;27
Galicia;Resto de Asia;Abril;236
Galicia;Resto de Asia;Mayo;390
Galicia;Resto de Asia;Junio;449
Galicia;Resto de Asia;Julio;89
Galicia;Resto de Asia;Agosto;89
Galicia;Resto de Asia;Setiembre;379
Galicia;Resto de Asia;Octubre;230
Galicia;Resto de Asia;Noviembre;119
Galicia;Resto de Asia;Diciembre;25
Galicia;Australia;Enero;22
Galicia;Australia;Febrero;16
Galicia;Australia;Marzo;18
Galicia;Australia;Abril;68
Galicia;Australia;Mayo;141
Galicia;Australia;Junio;223
Galicia;Australia;Julio;442
Galicia;Australia;Agosto;206
Galicia;Australia;Setiembre;327
Galicia;Australia;Octubre;145
Galicia;Australia;Noviembre;30
Galicia;Australia;Diciembre;78
Galicia;Nueva Zelanda;Enero;.
Galicia;Nueva Zelanda;Febrero;4
Galicia;Nueva Zelanda;Marzo;0
Galicia;Nueva Zelanda;Abril;17
Galicia;Nueva Zelanda;Mayo;13
Galicia;Nueva Zelanda;Junio;228
Galicia;Nueva Zelanda;Julio;54
Galicia;Nueva Zelanda;Agosto;7
Galicia;Nueva Zelanda;Setiembre;.
Galicia;Nueva Zelanda;Octubre;4
Galicia;Nueva Zelanda;Noviembre;.
Galicia;Nueva Zelanda;Diciembre;51
Galicia;Otros países;Enero;305
Galicia;Otros países;Febrero;120
Galicia;Otros países;Marzo;385
Galicia;Otros países;Abril;417
Galicia;Otros países;Mayo;659
Galicia;Otros países;Junio;508
Galicia;Otros países;Julio;790
Galicia;Otros países;Agosto;2.463
Galicia;Otros países;Setiembre;1.324
Galicia;Otros países;Octubre;532
Galicia;Otros países;Noviembre;447
Galicia;Otros países;Diciembre;319
Galicia;Unión Europea(sin España);Enero;7.148
Galicia;Unión Europea(sin España);Febrero;19.746
Galicia;Unión Europea(sin España);Marzo;14.778
Galicia;Unión Europea(sin España);Abril;25.698
Galicia;Unión Europea(sin España);Mayo;29.161
Galicia;Unión Europea(sin España);Junio;36.630
Galicia;Unión Europea(sin España);Julio;39.690
Galicia;Unión Europea(sin España);Agosto;57.617
Galicia;Unión Europea(sin España);Setiembre;40.083
Galicia;Unión Europea(sin España);Octubre;29.906
Galicia;Unión Europea(sin España);Noviembre;16.558
Galicia;Unión Europea(sin España);Diciembre;17.367
