"País.de.residencia","Meses","Total","Year"
"Bélgica",11,387,2014
"Bélgica",12,137,2014
"Bélgica",1,377,2015
"Bélgica",2,158,2015
"Bélgica",3,200,2015
"Bélgica",4,1101,2015
"Bélgica",5,2364,2015
"Bélgica",6,3124,2015
"Bélgica",7,4042,2015
"Bélgica",8,2584,2015
"Bélgica",9,3669,2015
"Bélgica",10,2090,2015
"Bélgica",11,532,2015
"Bélgica",12,173,2015
"Bélgica",1,291,2016
"Bélgica",2,263,2016
"Bélgica",3,411,2016
"Bélgica",4,884,2016
"Bélgica",5,2102,2016
"Bélgica",6,2474,2016
"Bélgica",7,2999,2016
"Bélgica",8,2480,2016
"Bélgica",9,3127,2016
"Bélgica",10,1384,2016
"Bélgica",11,1236,2016
"Bélgica",12,252,2016
"Bélgica",1,216,2017
"Bélgica",2,209,2017
"Bélgica",3,335,2017
"Bélgica",4,1554,2017
"Bélgica",5,1828,2017
"Bélgica",6,2388,2017
"Bélgica",7,2558,2017
"Bélgica",8,2270,2017
"Bélgica",9,3629,2017
"Bélgica",10,1711,2017
"Bélgica",11,358,2017
"Bélgica",12,387,2017
"Bélgica",1,274,2018
"Bélgica",2,303,2018
"Bélgica",3,512,2018
"Bélgica",4,1002,2018
"Bélgica",5,2348,2018
"Bélgica",6,2111,2018
"Bélgica",7,2305,2018
"Bélgica",8,1731,2018
"Bélgica",9,3260,2018
"Bélgica",10,2066,2018
"Bélgica",11,977,2018
"Bélgica",12,236,2018
"Brasil",1,292,2000
"Brasil",2,348,2000
"Brasil",3,575,2000
"Brasil",4,513,2000
"Brasil",5,1000,2000
"Brasil",6,1300,2000
"Brasil",7,1222,2000
"Brasil",8,1040,2000
"Brasil",9,1844,2000
"Brasil",10,1056,2000
"Brasil",11,373,2000
"Brasil",12,528,2000
"Brasil",1,379,2001
"Brasil",2,712,2001
"Brasil",3,276,2001
"Brasil",4,911,2001
"Brasil",5,1079,2001
"Brasil",6,1418,2001
"Brasil",7,1219,2001
"Brasil",8,894,2001
"Brasil",9,967,2001
"Brasil",10,562,2001
"Brasil",11,259,2001
"Brasil",12,260,2001
"Brasil",1,244,2002
"Brasil",2,424,2002
"Brasil",3,342,2002
"Brasil",4,965,2002
"Brasil",5,718,2002
"Brasil",6,941,2002
"Brasil",7,833,2002
"Brasil",8,830,2002
"Brasil",9,1025,2002
"Brasil",10,462,2002
"Brasil",11,233,2002
"Brasil",12,219,2002
"Brasil",1,218,2003
"Brasil",2,327,2003
"Brasil",3,551,2003
"Brasil",4,1160,2003
"Brasil",5,1069,2003
"Brasil",6,1483,2003
"Brasil",7,971,2003
"Brasil",8,1227,2003
"Brasil",9,1503,2003
"Brasil",10,1093,2003
"Brasil",11,1181,2003
"Brasil",12,1020,2003
"Brasil",1,758,2004
"Brasil",2,747,2004
"Brasil",3,389,2004
"Brasil",4,635,2004
"Brasil",5,1484,2004
"Brasil",6,1632,2004
"Brasil",7,1582,2004
"Brasil",8,925,2004
"Brasil",9,1471,2004
"Brasil",10,1181,2004
"Brasil",11,571,2004
"Brasil",12,576,2004
"Cánada",1,46,2000
"Cánada",2,47,2000
"Cánada",3,108,2000
"Cánada",4,109,2000
"Cánada",5,339,2000
"Cánada",6,437,2000
"Cánada",7,294,2000
"Cánada",8,266,2000
"Cánada",9,222,2000
"Cánada",10,223,2000
"Cánada",11,148,2000
"Cánada",12,78,2000
"Cánada",1,53,2001
"Cánada",2,32,2001
"Cánada",3,252,2001
"Cánada",4,283,2001
"Cánada",5,247,2001
"Cánada",6,334,2001
"Cánada",7,329,2001
"Cánada",8,107,2001
"Cánada",9,236,2001
"Cánada",10,389,2001
"Cánada",11,43,2001
"Cánada",12,27,2001
"Cánada",1,54,2002
"Cánada",2,76,2002
"Cánada",3,46,2002
"Cánada",4,247,2002
"Cánada",5,1134,2002
"Cánada",6,785,2002
"Cánada",7,265,2002
"Cánada",8,215,2002
"Cánada",9,894,2002
"Cánada",10,247,2002
"Cánada",11,132,2002
"Cánada",12,116,2002
"Cánada",1,83,2003
"Cánada",2,328,2003
"Cánada",3,266,2003
"Cánada",4,410,2003
"Cánada",5,627,2003
"Cánada",6,1179,2003
"Cánada",7,433,2003
"Cánada",8,489,2003
"Cánada",9,783,2003
"Cánada",10,369,2003
"Cánada",11,100,2003
"Cánada",12,33,2003
"Cánada",1,35,2004
"Cánada",2,86,2004
"Cánada",3,167,2004
"Cánada",4,525,2004
"Cánada",5,651,2004
"Cánada",6,581,2004
"Cánada",7,341,2004
"Cánada",8,151,2004
"Cánada",9,611,2004
"Cánada",10,622,2004
"Cánada",11,154,2004
"Cánada",12,34,2004
"Dinamarca",1,53,2000
"Dinamarca",2,76,2000
"Dinamarca",3,49,2000
"Dinamarca",4,114,2000
"Dinamarca",5,157,2000
"Dinamarca",6,125,2000
"Dinamarca",7,466,2000
"Dinamarca",8,329,2000
"Dinamarca",9,759,2000
"Dinamarca",10,209,2000
"Dinamarca",11,99,2000
"Dinamarca",12,36,2000
"Dinamarca",1,88,2001
"Dinamarca",2,96,2001
"Dinamarca",3,108,2001
"Dinamarca",4,137,2001
"Dinamarca",5,195,2001
"Dinamarca",6,218,2001
"Dinamarca",7,348,2001
"Dinamarca",8,582,2001
"Dinamarca",9,173,2001
"Dinamarca",10,109,2001
"Dinamarca",11,154,2001
"Dinamarca",12,89,2001
"Dinamarca",1,54,2002
